type,title,authors,venue,year,link,abstract
Working Paper,Does Farmland Retirement Affect Local Employment? Evidence from the Conservation Reserve Program,"Liqing Li, Amy Ando",Revision requested at Agricultural and Applied Economics Policy,,,
Working Paper,Household Preference for Community Gardens: A Discrete Choice Experiment Approach,"Liqing Li, Dylan Long",Under review,,,
Working Paper,Who Values Urban Open Spaces? Investigating Heterogeneity in Capitalization of Open Space,"Liqing Li, Mitch Livy",Under review,,,
Work in Progress,The Effect of Climate Change Information on Food Choices,"Liqing Li, Haoxin Liu, Dylan Long",,,,
Work in Progress,Persistent and Immediate Effects of Land Conservation Programs on Local Economy: Evidence from Linking Historical and Current Conservation Programs,"Liqing Li, A. Howlader",,,,
Work in Progress,Wildfires and Birth Outcomes in California,"Liqing Li, P. Singh",,,,
Publication,Environmental Goods Provision and Gentrification: Evidence from MillionTreesNYC,"Liqing Li",Journal of Environmental Economics and Management,2023,https://doi.org/10.1016/j.jeem.2023.102828,
Publication,Early Exposure to Nature and Willingness-To-Pay for It: The Value of Tallgrass Prairie Grassland Restoration,"Liqing Li, Amy Ando",Land Economics,2023,https://doi.org/10.3368/le.99.4.070822-0054R,
Publication,Locked Down but Load the Feeder: COVID-Related Surge in Global Wild Bird Feeding,"Jacob Doremus, Liqing Li, Daniel Jones",PLoS ONE,2023,https://doi.org/10.1371/journal.pone.0287116,
Publication,The Impact of Bison Reintroduction on Local Economies,"Liqing Li, Amy Ando",Agricultural and Resource Economics Review,2022,https://doi.org/10.1017/age.2022.13,
Publication,Birds of a Feather Lockdown Together: Mutual Bird-Human Benefits During a Global Pandemic,"Marissa Brock, Jacob Doremus, Liqing Li",Ecological Economics,2021,https://doi.org/10.1016/j.ecolecon.2021.107174,
Publication,Stay-at-Home Orders and the Willingness to Stay Home During the COVID-19 Pandemic: A Stated-Preference Discrete Choice Experiment,"Liqing Li, Dylan Long, Mani Rouhi Rad, Michael Sloggy",PLoS ONE,2021,https://doi.org/10.1371/journal.pone.0253910,
